avgFitness;avgPrecision;avgSimp;avgF1-BCubed;Noise;Method
0.8683880952380953;0.7679029786682896;0.8276422756706753;0.6629885031431878;0.0;1.0
0.8274222754492244;0.7722798348104869;0.5811728736593241;0.5859496952490845;0.1;1.0
0.8304829918814856;0.7776925539186272;0.5579010346865161;0.6073278363403988;0.2;1.0
0.7939591321148769;0.7549314715512347;0.5297090388285781;0.5428948130287929;0.3;1.0
0.7137651989769365;0.7230125757969;0.4565478784374037;0.5536428917757025;0.4;1.0
0.7771065194687742;0.7669202206811736;0.5084574893259823;0.5023853862449001;0.5;1.0
0.641237119589971;0.5976366011358853;0.42965399447735053;0.4778260866745455;0.6;1.0
0.8063529257260217;0.7503507837425483;0.5282413357653157;0.49964572015576103;0.7;1.0
0.7069315317965927;0.671673644784377;0.47184286606254344;0.4875604840530462;0.8;1.0
0.7866757448016527;0.7507250245262227;0.5345044398405793;0.43631085804477765;0.9;1.0
0.6841371030894409;0.6525114966646985;0.45348311291215515;0.41888316066398334;1.0;1.0
