avgFitness;avgPrecision;avgSimp;avgF1-BCubed;Noise;Method
0.6453415417067496;0.42743567177021613;0.6307261324474032;0.49728710264943277;0.0;4.0
0.5950985000588636;0.43636293455442593;0.5079170222791435;0.49000218676848273;0.09999999999999987;4.0
0.5641408972190975;0.4330354776404319;0.4803855874123015;0.48044372002644586;0.19999999999999973;4.0
0.4380247091289641;0.33340634471482056;0.3804532664853588;0.48265478070131185;0.30000000000000043;4.0
0.3541665246831817;0.2723236831591966;0.3148216179096973;0.483931361736292;0.39999999999999947;4.0
0.37041284657652396;0.29657111218120635;0.3156207226844482;0.48029637685855864;0.5;4.0
0.2873359219265333;0.22737880814288663;0.24546731126868337;0.48459799639977813;0.6000000000000009;4.0
0.28288147441992884;0.23329285483207748;0.2313935568025561;0.48591321222118417;0.7000000000000007;4.0
0.21144912662264342;0.17536467755940544;0.17037210542767836;0.48397906185960426;0.7999999999999989;4.0
0.2340842987931883;0.20092370013995917;0.1778434503250837;0.47866871200686273;0.899999999999999;4.0
0.2775986172102522;0.25640491630824785;0.18743380553857072;0.4741287437413966;1.0;4.0
