avgFitness;avgPrecision;avgSimp;avgF1-BCubed;Noise;Method
0.8358837984507775;0.7037920170639304;0.8371350284548157;0.9872332069065275;0.0;5.0
0.8154808609740422;0.7086813365098719;0.6578156030314658;0.9875158943367737;0.09999999999999987;5.0
0.795851590337302;0.7077855615486576;0.631042199449328;0.9845350860111868;0.19999999999999973;5.0
0.7751069200338775;0.695983052562625;0.6104272842149525;0.9819271479682362;0.30000000000000043;5.0
0.7476024897075402;0.668882970449806;0.597237367172395;0.9818684047968915;0.39999999999999947;5.0
0.7706557858337615;0.6984361468543097;0.6072742002769792;0.9795942984281069;0.5;5.0
0.7629199230140709;0.6810986179181596;0.6081639314107655;0.9757314123565857;0.6000000000000009;5.0
0.7535935712980797;0.6771027538055782;0.6020051779727701;0.9793107800395373;0.7000000000000007;5.0
0.7323708524336641;0.66736340590857;0.5952944466882555;0.9724172621757676;0.7999999999999989;5.0
0.7206874503418035;0.6404550377626252;0.5940773641054725;0.9646254303901536;0.899999999999999;5.0
0.701195368681684;0.6319922451506351;0.5887054040606479;0.9671864800561458;1.0;5.0
