avgFitness;avgPrecision;avgSimp;avgF1-BCubed;Noise;Method
0.7891879115560364;0.6815552385823551;0.7745501571525311;0.6174834505318803;0.0;3.0
0.7641558431269301;0.68647891319625;0.6099126666794084;0.6128964375690594;0.09999999999999987;3.0
0.728295291302713;0.6578532777932382;0.5739776187591124;0.6211096264323416;0.19999999999999973;3.0
0.7285552656018393;0.6822814278179561;0.5689895710839991;0.6184406259540187;0.30000000000000043;3.0
0.7435362009188871;0.7008763419008633;0.5808812746884198;0.6185985054742812;0.39999999999999947;3.0
0.6958150604053353;0.665335360718933;0.556014160881252;0.6128996320988598;0.5;3.0
0.6954317345206953;0.6578601998614135;0.5471317137956748;0.611810159298315;0.6000000000000009;3.0
0.700048901656606;0.660033389021099;0.5545067171048851;0.6218552791226926;0.7000000000000007;3.0
0.6954605539787476;0.6717651572450382;0.5441099492439672;0.6144276390162169;0.7999999999999989;3.0
0.6660234278217151;0.6339708907477479;0.5361350445762664;0.6152135219050341;0.899999999999999;3.0
0.6609395047193346;0.6487967248084003;0.5326600040101018;0.6238515831237194;1.0;3.0
