avgFitness;avgPrecision;avgSimp;avgF1-BCubed;Noise;Method
0.8373638670434504;0.7066516899200289;0.8389435969928644;0.9840719790639056;0.0;6.0
0.8193224725011793;0.7067460803447156;0.6635527653985098;0.9818164219759244;0.09999999999999987;6.0
0.7973047991321927;0.7049164368395487;0.6335389961849439;0.9818848251636556;0.19999999999999973;6.0
0.7914513187210308;0.695072812506249;0.6217088810938696;0.9767879956568959;0.30000000000000043;6.0
0.7597113451295033;0.6773671072673916;0.6126406100923386;0.975785769652932;0.39999999999999947;6.0
0.7525846071604908;0.6765557289309719;0.6040558793405084;0.9748081363214504;0.5;6.0
0.751445149260007;0.6713998884807156;0.5984239635248547;0.968980168737563;0.6000000000000009;6.0
0.7285222346563119;0.6474260105363014;0.5957667081863174;0.9665975343105675;0.7000000000000007;6.0
0.7312239634890498;0.6650040470026298;0.5944402843875135;0.964201985493783;0.7999999999999989;6.0
0.7120525752955728;0.6339056854456044;0.5892170765147485;0.9632432337839444;0.899999999999999;6.0
0.7059856877077124;0.6356000737924169;0.5850114552882207;0.96315824119571;1.0;6.0
