avgFitness;avgPrecision;avgSimp;avgF1-BCubed;Noise;Method
0.7730819497554912;0.6604148379674922;0.7606650352164436;0.682160489071334;0.0;2.0
0.7326370287739166;0.6531771512492912;0.5971986299715314;0.679734907150581;0.09999999999999987;2.0
0.7061254428856822;0.6472870676109662;0.5664686794410697;0.6729593252135492;0.19999999999999973;2.0
0.695672728443071;0.625186485551566;0.5373000504136334;0.6677132174555781;0.30000000000000043;2.0
0.6738665220579688;0.617985380104619;0.5273273889252779;0.6612541942064031;0.39999999999999947;2.0
0.6478592110950725;0.6054444033956222;0.5179740028865079;0.6578404229145819;0.5;2.0
0.6660482661761552;0.6311760652265908;0.5214326568107125;0.6421203295126935;0.6000000000000009;2.0
0.6673544306534797;0.6296394535317685;0.515419576003847;0.6294471513260391;0.7000000000000007;2.0
0.6651829318772529;0.6457318414128149;0.512403228604644;0.6270568422853777;0.7999999999999989;2.0
0.6730757676339592;0.6458553389569767;0.5236147822801206;0.6168108689956917;0.899999999999999;2.0
0.6254673938663641;0.6013786729321967;0.5095150028109363;0.6139470819828667;1.0;2.0
